cell_type,patient,k,mean_dist,sd_dist,n_cells
T CD8 naive,Lung6,4,305.831414662614,182.186799713003,689
T CD4 naive,Lung6,4,285.709609477238,173.217993612503,503
NK,Lung6,4,240.456107859902,201.827430856197,184
macrophage,Lung6,4,408.841447770886,293.873217118108,6884
mast,Lung6,4,200.245939618585,154.830242582947,254
T CD4 memory,Lung6,4,263.264745440795,163.740346013742,615
Treg,Lung6,4,305.022013537369,160.490464797484,319
T CD8 memory,Lung6,4,336.317161364565,218.070113218327,541
mDC,Lung6,4,333.424898144769,224.112847845659,904
neutrophil,Lung6,4,170.686872948503,107.328660004596,482
monocyte,Lung6,4,219.114252594726,153.713403211813,296
epithelial,Lung6,5,302.266336582379,221.601508952738,4120
fibroblast,Lung6,5,199.087757992053,136.718847725919,3252
endothelial,Lung6,5,295.270330042383,217.293643553331,2583
plasmablast,Lung6,5,272.658204351842,137.085627139201,411
B-cell,Lung6,5,326.712742871234,170.145604347529,487
pDC,Lung6,5,347.649704128914,208.831145516088,470
T CD8 naive,Lung6,5,325.924684580076,194.923192210618,689
T CD4 naive,Lung6,5,303.142931483008,179.649443334213,503
NK,Lung6,5,257.352243695122,213.096634943052,184
macrophage,Lung6,5,443.819645917159,317.997253333572,6884
mast,Lung6,5,211.613279783619,161.931101965346,254
T CD4 memory,Lung6,5,278.818600821346,173.657712353283,615
Treg,Lung6,5,322.897125827973,165.898791212759,319
T CD8 memory,Lung6,5,361.272373763237,231.391947532462,541
mDC,Lung6,5,356.463881275362,239.515621805044,904
neutrophil,Lung6,5,186.444754534472,117.238129345864,482
monocyte,Lung6,5,237.186865171616,164.986924352366,296
epithelial,Lung6,6,321.157591032101,235.207931634486,4120
fibroblast,Lung6,6,208.966950079926,143.104734288017,3252
endothelial,Lung6,6,311.936526193919,230.970701355609,2583
plasmablast,Lung6,6,283.919828260933,142.198058354087,411
B-cell,Lung6,6,343.712461044267,177.82255825386,487
pDC,Lung6,6,365.514787866546,222.790207123335,470
T CD8 naive,Lung6,6,344.177957924492,208.461537874427,689
T CD4 naive,Lung6,6,318.850356133434,185.552022994853,503
NK,Lung6,6,272.601075079972,224.230188124107,184
macrophage,Lung6,6,475.5039806329,341.065276115436,6884
mast,Lung6,6,221.925666829676,168.573845759109,254
T CD4 memory,Lung6,6,292.744359192512,182.8925954577,615
Treg,Lung6,6,339.059366126006,172.011616628443,319
T CD8 memory,Lung6,6,384.374916372417,245.837761319467,541
mDC,Lung6,6,376.603789238093,253.460460850313,904
neutrophil,Lung6,6,200.650347300719,126.82593468469,482
monocyte,Lung6,6,252.814308689178,174.393998027163,296
epithelial,Lung6,7,338.282502354848,247.708841837224,4120
fibroblast,Lung6,7,218.06686382074,148.888351099454,3252
endothelial,Lung6,7,326.874506981092,243.181128748312,2583
plasmablast,Lung6,7,294.172599130021,146.69551446469,411
B-cell,Lung6,7,359.128458948775,184.770645780924,487
pDC,Lung6,7,380.984771840251,234.275513558894,470
T CD8 naive,Lung6,7,360.58708856063,220.425810787099,689
T CD4 naive,Lung6,7,333.019711256963,191.811202279912,503
NK,Lung6,7,286.889463097032,235.819537034468,184
macrophage,Lung6,7,503.811623728127,361.766278847491,6884
mast,Lung6,7,231.75311973519,175.959568615478,254
T CD4 memory,Lung6,7,305.311584415412,191.003520394531,615
Treg,Lung6,7,353.56757483355,178.833286767757,319
T CD8 memory,Lung6,7,405.192962406891,259.45222863432,541
mDC,Lung6,7,395.107669008355,266.452773332788,904
neutrophil,Lung6,7,213.706590515426,135.184174736773,482
monocyte,Lung6,7,266.957704587282,182.738279986756,296
epithelial,Lung6,8,354.119568144061,259.320433385936,4120
fibroblast,Lung6,8,226.462102389863,154.263901166449,3252
endothelial,Lung6,8,340.58331514534,254.415169379961,2583
plasmablast,Lung6,8,303.923579904962,150.916360273036,411
B-cell,Lung6,8,373.215812113549,191.637430239763,487
pDC,Lung6,8,395.127913084088,244.72438842755,470
T CD8 naive,Lung6,8,375.679610527054,231.182245992774,689
T CD4 naive,Lung6,8,346.077982949914,197.535885169808,503
NK,Lung6,8,299.984978161664,246.665928478959,184
macrophage,Lung6,8,529.925891799313,381.135758869623,6884
mast,Lung6,8,240.965544344836,182.829411739137,254
T CD4 memory,Lung6,8,316.755514192632,197.94485758993,615
Treg,Lung6,8,366.888592928043,185.259363545228,319
T CD8 memory,Lung6,8,424.349565579545,272.266733869832,541
mDC,Lung6,8,412.44887170012,279.386617749006,904
neutrophil,Lung6,8,225.935371705052,143.585334798354,482
monocyte,Lung6,8,279.88261667918,190.273929926617,296
epithelial,Lung6,9,368.791301811688,270.084087905086,4120
fibroblast,Lung6,9,234.278797171933,159.142156562545,3252
endothelial,Lung6,9,353.173153229666,264.788682341474,2583
