gene,median_coef,fisher_stat,fisher_pval,sign_consistency,n_samples,n_sig_samples,mean_expr,pct_expr,n_positive_samples,n_negative_samples,median_dispersion,fisher_fdr,perm_pval,gradient_score,decay_pattern,cell_type
SREBF1,0.000555192409673198,,1,0.6,5,1,0.0795593635250918,0.0681609547123623,3,2,0.376760199641912,1,,0.000555192409673198,not_significant,pDC
SRGN,0.000230484386073219,,1,0.6,5,0,0.748623011015912,0.387316401468788,3,2,0.915605070474768,1,,0.000230484386073219,not_significant,pDC
ST6GAL1,0.00177086139820437,26.9674063582503,0.00263543907324123,1,5,2,0.222383720930233,0.164244186046512,5,0,0.758179368796535,0.059776549888517,,0.00177086139820437,not_significant,pDC
STAT1,-0.00124734059357322,13.2636019844328,0.209304717135123,1,5,0,0.212744798041616,0.162255201958384,0,5,0.691963397458995,1,,-0.00124734059357322,not_significant,pDC
STAT3,0.000388632239482243,,1,0.8,5,0,0.186811505507956,0.151162790697674,4,1,0.531561044967118,1,,0.000388632239482243,not_significant,pDC
STAT4,0.00070015810817429,,1,0.8,5,0,0.102279681762546,0.0803243574051407,4,1,0.531691363735156,1,,0.00070015810817429,not_significant,pDC
STAT5A,-0.000502389705088868,,1,0.6,5,0,0.0983017135862913,0.0849143206854345,2,3,0.448381600186146,1,,-0.000502389705088868,not_significant,pDC
STAT5B,0.000476340396735346,,1,0.8,5,0,0.0836138310893513,0.0732099143206854,4,1,0.301513044651665,1,,0.000476340396735346,not_significant,pDC
STAT6,0.000191273148491248,,1,0.6,5,1,0.101820685434517,0.0882802937576499,3,2,0.335915393142724,1,,0.000191273148491248,not_significant,pDC
STMN1,-0.00127460536481507,,1,0.8,5,1,0.0865973072215422,0.0707619339045288,1,4,0.361564993548807,1,,-0.00127460536481507,not_significant,pDC
TAGLN,-0.000359808239281204,,1,0.6,5,0,0.4562423500612,0.258414932680539,2,3,1.23631173828398,1,,-0.000359808239281204,not_significant,pDC
TAP1,0.000803552083647142,,1,0.6,5,0,0.127600979192166,0.106104651162791,3,2,0.512881141029006,1,,0.000803552083647142,not_significant,pDC
TAP2,-0.000465589725432839,,1,0.6,5,1,0.132955936352509,0.106104651162791,2,3,0.47256843489051,1,,-0.000465589725432839,not_significant,pDC
