cell_type,pathway,pathway_clean,pval,padj,ES,NES,size,leadingEdge
epithelial,HALLMARK_IL6_JAK_STAT3_SIGNALING,Il6 Jak Stat3 Signaling,0.943151734708095,0.988917674150835,-0.197726641735204,-0.639791213872015,33,"CXCL9,IL1R2,IL17RB,CXCL1"
epithelial,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling via Nfkb,0.988917674150835,0.988917674150835,-0.167488895925811,-0.514929594871146,26,"ACKR3,CXCL1,TNFRSF9,CCL4,VEGFA,IL1A,IL6,IL12B,LIF"
fibroblast,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,0.000339260711615378,0.00949929992523057,0.458896586212596,1.74364484338129,94,"HLA-DRA,CD2,CD79A,HLA-DQA1,CD3G,CD3D,CD4,CD28,ITGAL,LTB,STAT4,LIF,IL2RG,PF4,IRF4,IL6,FYB1,FAS,CCR5,GZMA,CD8A,CCR1,JAK2,PTPRC,ITGB2,CCR2,IL2RB,IL16,CCL13,CXCR3,CCL5,TIMP1"
fibroblast,HALLMARK_E2F_TARGETS,E2f Targets,0.00508311922228288,0.0531699284196516,-0.66138027520652,-1.78981886768992,17,"STMN1,HMGB2,H2AZ1,TP53,BRCA1,TOP2A,EZH2,PCNA,BIRC5,CDKN1A,PTTG1,CDKN3,DNMT1,MKI67,CHEK1"
fibroblast,HALLMARK_G2M_CHECKPOINT,G2m Checkpoint,0.00569677804496267,0.0531699284196516,-0.611845991416563,-1.78992434599689,23,"UBE2C,CENPF,CCND1,STMN1,H2AZ1,TOP2A,TGFB1,EZH2,EGF,BIRC5,PTTG1,CDKN3,MKI67,ABL1,EFNA5,CHEK1"
fibroblast,HALLMARK_ADIPOGENESIS,Adipogenesis,0.0101241642788921,0.0708691499522445,0.635155274536785,1.69324101487694,17,"GPX3,SPARCL1,CD36,ANGPT1,COL15A1,LIFR,COL4A1,FZD4,FABP4,STAT5A"
fibroblast,HALLMARK_KRAS_SIGNALING_DN,Kras Signaling Dn,0.0217207929143821,0.12163644032054,-0.570371401463918,-1.58396274992588,19,"MX1,KRT5,TGFB2,CELSR2,EGF,PDCD1,KRT13,GDNF"
fibroblast,HALLMARK_MYOGENESIS,Myogenesis,0.0405764125900645,0.189356592086968,0.475597303783876,1.47283186796173,33,"GADD45B,CLU,GPX3,CFD,PTGIS,IGFBP7,CD36,MYH11,COL6A2,COL15A1,CRYAB"
fibroblast,HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,0.0615482233502538,0.246192893401015,-0.441372661472311,-1.40331417712282,33,"AGR2,SFN,SERPINA1,CDH1,AREG,CCND1,CELSR2,TOP2A"
fibroblast,HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,0.0876158382476832,0.292861042861043,-0.448480946192113,-1.36201425479648,27,"SFN,AREG,CCND1,KRT8,AR,SLC2A1,CELSR2,CELSR1,IGF1R,KRT18,PTGES,KRT13,DHRS2"
fibroblast,HALLMARK_P53_PATHWAY,P53 Pathway,0.096740050804403,0.292861042861043,-0.41418060913286,-1.32674804832286,34,"SFN,ITGB4,NDRG1,TM4SF1,SERPINB5,TP53,APP,TGFB1,PCNA"
fibroblast,HALLMARK_APOPTOSIS,Apoptosis,0.113074204946996,0.292861042861043,0.353546892469479,1.26321956051677,66,"GADD45B,CLU,MMP2,GPX3,CD2,DCN,SOD2,ATF3,LUM,CD38,IL6,FAS,ANXA1"
fibroblast,HALLMARK_IL2_STAT5_SIGNALING,Il2 Stat5 Signaling,0.115052552552553,0.292861042861043,0.367603294573368,1.2699922790813,56,"GADD45B,SELL,CD48,CTLA4,IL3RA,CST7,ICOS,LTB,LIF,COL6A1,IRF4,TNFRSF1B,CD83,IFITM3,IL2RB,BCL2,IL18R1,XBP1,IL2RA"
fibroblast,HALLMARK_COAGULATION,Coagulation,0.215213707399736,0.502165317266052,0.385625434347198,1.1898588810359,32,"CLU,MMP2,THBS1,CFD,FYN,VWF,PF4,ANXA1,OLR1"
fibroblast,HALLMARK_GLYCOLYSIS,Glycolysis,0.235490605427975,0.507210534767946,-0.44855582040376,-1.19649828369705,16,"SOX9,IGFBP3,STMN1,SOD1,G6PD"
fibroblast,HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,0.302436343652684,0.604872687305367,0.289340349464237,1.0803037547266,84,"SELL,CD48,LIF,RGS1,GPR183,LAMP3,IL6,CSF3R,TNFRSF1B,EMP3,OLR1,ACVR1B,BEST1,IL2RB,CD14,CCL5,TIMP1,IL18R1,CCR7,IL15RA,MARCO,OSMR,NFKBIA,TNFSF15,NLRP3,MYC,CMKLR1,PROK2"
fibroblast,HALLMARK_UV_RESPONSE_UP,Uv Response Up,0.336185586613425,0.614536411411411,0.394648020925232,1.09706360059061,20,"GPX3,JUNB,SOD2,ATF3,IL6ST,IL6"
fibroblast,HALLMARK_IL6_JAK_STAT3_SIGNALING,Il6 Jak Stat3 Signaling,0.351163663663664,0.614536411411411,0.307745826129042,1.06319728052757,56,"IL3RA,LTB,CD36,IL2RG,PF4,CD38,IL6ST,IL6,FAS,CSF3R,TNFRSF1B,JUN,ACVR1B,CCR1,CD14,IL18R1,IL15RA,IL2RA"
fibroblast,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,0.401383436156291,0.616555388039342,0.297413812953089,1.03189866729435,57,"SOD2,HLA-DQA1,STAT4,NLRC5,IRF4,CD38,IL6,VCAM1,FAS,KLRK1,GZMA,JAK2,IFITM3,IL2RB,CCL5,CASP8,IL15RA"
