gene,sample_id,coef,se,n_cells,pval,dispersion
ANGPTL1,Lung13,-0.000863283356417065,0.000783123886116708,13609,0.270305799345441,0.251208573418946
ANXA1,Lung5,0.00295582745622627,0.000209729348211207,37735,4.16208091674003e-45,0.771617652359273
ANXA1,Lung6,0.000485378238361258,0.000830639221583481,3252,0.558989548370491,0.573545732349394
ANXA1,Lung9,0.00132747990147976,0.000510657211724326,21893,0.00933455744996074,0.314569777589546
ANXA1,Lung12,0.000932027104858835,0.000403058720070148,16548,0.0207564534990783,0.544448733482225
ANXA1,Lung13,-0.00193275574856474,0.000328615123301568,13609,4.06520833768678e-09,0.696396543351064
ANXA2,Lung5,-0.00144067794601038,0.000115835777702125,37735,1.64065633624563e-35,1.14132515140303
ANXA2,Lung6,-0.00369685504391643,0.000626950355359591,3252,3.71141137506578e-09,0.798396669651603
ANXA2,Lung9,0.000246757874952386,0.000302826298868049,21893,0.41515843108579,0.601546968973997
ANXA2,Lung12,-0.000843328419700022,0.00023684629147761,16548,0.000369927965249232,0.936676894620792
ANXA2,Lung13,-0.00188671641056864,0.000211893229067472,13609,5.38257035341895e-19,1.00074346367731
ANXA4,Lung5,-0.00323220217510655,0.000256106463327539,37735,1.62699263766674e-36,0.47465947599042
ANXA4,Lung6,-0.000525611062818149,0.00126723906685715,3252,0.678311256538793,0.373105541234961
ANXA4,Lung9,-0.000869633863141812,0.000576738853868342,21893,0.131593728733761,0.273485999918534
ANXA4,Lung12,-6.43183348153832e-05,0.000434920269565649,16548,0.882433252749665,0.505139747146271
ANXA4,Lung13,-0.00239467784671982,0.000483287333387654,13609,7.23386720549332e-07,0.465322602205483
APOA1,Lung5,-0.000304856345681919,0.000427730196917904,37735,0.476012555851246,0.270517161851941
APOA1,Lung6,-0.00131219363115843,0.00264598957202536,3252,0.619952326074994,0.122244523254395
APOA1,Lung9,0.0016430484051621,0.000769258915751353,21893,0.0326888069812253,0.189511237656581
APOA1,Lung12,0.000183663089763965,0.000469906358029404,16548,0.695907815647726,0.44983467109162
APOA1,Lung13,-0.002401094137539,0.00104271008887851,13609,0.0212932652092248,0.160756336739683
APOB,Lung5,7.62068457715229e-05,0.000484902423317645,37735,0.875119432973455,0.232689941806487
APOB,Lung6,0.00734707514495915,0.00266775945741446,3252,0.00588673451227728,0.126585757306998
APOB,Lung9,-0.000510265846606764,0.000881931991939316,21893,0.562874413042961,0.153378685821472
APOB,Lung12,-0.000984422250553603,0.000530224034722894,16548,0.0633658531735145,0.393932710817893
APOB,Lung13,-0.00115804723522213,0.000965122294939798,13609,0.230179389959605,0.181330058392498
APOD,Lung5,0.000701227416022171,0.000254901478236476,37735,0.00594183044853634,0.63490792643105
APOD,Lung6,0.000305604815141232,0.0015142897267186,3252,0.840062163053728,0.291318819195352
APOD,Lung9,-0.0016805506613145,0.00047018225262874,21893,0.00035122823941917,0.392292448863615
APOD,Lung12,0.00044863815391388,0.000444339459220829,16548,0.312651336143989,0.500653958025028
APOD,Lung13,-0.00168943765284552,0.000574591357399604,13609,0.00327955974729216,0.385859507710499
APP,Lung5,-0.00192095519736155,0.000126528229997193,37735,4.6517037665992e-52,1.00200585780648
APP,Lung6,-0.00127266983652782,0.000618458612689468,3252,0.0396084504842512,0.775347121118439
APP,Lung9,-0.000903815948028349,0.000281909077930864,21893,0.00134568365791131,0.63790863184455
APP,Lung12,-0.00105237007757769,0.000260655928158178,16548,5.40487855491709e-05,0.84167884108653
APP,Lung13,0.000697085354953282,0.000297229676354391,13609,0.0190130459271006,0.791279922940203
AQP3,Lung5,-0.000211630050608336,0.000351252474863481,37735,0.546840540020704,0.352102268025351
AQP3,Lung6,0.00272950461757601,0.00203544112065685,3252,0.179923949931824,0.178702200738295
AQP3,Lung9,0.00182963524046205,0.000689072816914959,21893,0.00792582976935045,0.210450510400181
AQP3,Lung12,-0.000291373418603696,0.000494382114570777,16548,0.555613867516493,0.423235581572668
AQP3,Lung13,-0.00111546285098686,0.000772783756458615,13609,0.148898069131805,0.245588133064719
AR,Lung5,-0.00123544920662448,0.000379973070551133,37735,0.0011483309992691,0.310142126038215
AR,Lung6,-0.00309494572337138,0.00209049503212927,3252,0.138743964743453,0.193911657812212
AR,Lung9,-0.00127471059844479,0.000664924002944374,21893,0.0552281337581288,0.232796972789089
