ligand,auroc,aupr,activity,pearson,cell_type
CCL4L2,0.631066550421392,0.084476771245799,0.0192136133510622,0.00173582305505534,fibroblast
CD80,0.633500435919792,0.0842699971085685,0.0190068392138317,0.0096953358882322,fibroblast
FASLG,0.634081662307471,0.0842289775883648,0.0189658196936279,0.00468445226039569,fibroblast
LTB,0.612903225806451,0.0841425046249412,0.0188793467302043,0.0421381209837898,fibroblast
FGF2,0.626997965707646,0.0840395176862698,0.0187763597915329,0.0234060175446531,fibroblast
FGF13,0.640311682650394,0.0839738573564112,0.0187106994616744,0.0649080838132495,fibroblast
HLA.E,0.636261261261265,0.0839595671014459,0.0186964092067091,0.0435472346827368,fibroblast
CD48,0.627433885498403,0.0838789673734744,0.0186158094787376,0.0230758128027381,fibroblast
ICOSLG,0.635080645161291,0.0838189501798388,0.0185557922851019,0.0304457266695115,fibroblast
TNFSF14,0.637478204010461,0.083807218325078,0.0185440604303412,-0.0107792356791467,fibroblast
CXCL8,0.636824324324325,0.0836679570575611,0.0184047991628243,0.000249801906852476,fibroblast
INHA,0.631157367044466,0.0836230213473236,0.0183598634525868,0.0631050858219231,fibroblast
CCL13,0.629976750944494,0.0835044354360818,0.0182412775413449,-0.000435742576119749,fibroblast
CCL28,0.615591397849464,0.0832897175504237,0.0180265596556869,0.0234723896457672,fibroblast
IL32,0.617861813426332,0.0832517552779336,0.0179885973831968,0.0324853118801306,fibroblast
CD38,0.622765911072367,0.083215529304859,0.0179523714101222,0.0293220674266443,fibroblast
CXCL14,0.626979802383028,0.0831881601039636,0.0179250022092268,0.0471793907055565,fibroblast
IL1RN,0.616917320546353,0.0829082129413816,0.0176450550466448,0.0241645099558875,fibroblast
ST6GAL1,0.635316768381285,0.0829038151687907,0.0176406572740538,-0.0374191818346048,fibroblast
TPSAB1,0.623165504213894,0.0828444745825632,0.0175813166878263,0.0600793269711569,fibroblast
GAS6,0.609397704155769,0.0828431815774714,0.0175800236827345,0.0642568484718046,fibroblast
INHBA,0.629413687881429,0.0828388745130795,0.0175757166183426,-0.00970537682473523,fibroblast
ALCAM,0.614319965126421,0.0826685410040053,0.0174053831092685,0.0601429765674193,fibroblast
GC,0.622184684684687,0.0826620726294448,0.0173989147347079,0.0680328209838154,fibroblast
FGF18,0.630648793955251,0.0824378986161973,0.0171747407214604,0.00913991179734613,fibroblast
CCL5,0.626053472827668,0.0823689040927739,0.0171057461980371,-0.01234156467045,fibroblast
NPPB,0.617825486777101,0.0820635661146792,0.0168004082199424,0.0336460576794172,fibroblast
PDCD1LG2,0.62963164777681,0.0820277941517631,0.0167646362570263,0.0267868080521979,fibroblast
CXCL2,0.623328974135425,0.0820003635303161,0.0167372056355792,0.0426557834578199,fibroblast
CD14,0.629268381284511,0.0819760344037717,0.0167128765090349,0.0145084093194511,fibroblast
CRP,0.624327956989248,0.081215802609077,0.0159526447143401,-0.0223611645027886,fibroblast
