ligand,receptor,cell_type,ligand_pct_query,ligand_mean_query,receptor_gradient_coef,receptor_fdr,receptor_pct_target,n_samples_supporting,n_samples_total,reproducibility,median_per_sample_score,direct_score
COL9A3,ITGB1,fibroblast,13.6464525177548,0.475958111065732,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000105381802595625,0.000105381802595625
COL4A1,ITGB8,fibroblast,18.0402430593458,0.637938144862187,-0.00117413952288575,4.11740300430642e-07,0.0633296430452401,5,5,1,0.000104460496090806,0.000104460496090806
COL8A1,DDR1,fibroblast,7.39531545120455,0.252151457375062,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,4,5,0.8,0.000126066890787818,0.000100853512630255
COL11A1,DDR1,fibroblast,5.6739207377784,0.192467032277713,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,4,5,0.8,0.000124905026723949,9.99240213791594e-05
MMP9,DDR1,fibroblast,6.10526176512423,0.209905019389061,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,4,5,0.8,0.000123381857361243,9.87054858889947e-05
COL1A2,ITGB1,fibroblast,16.2434298227334,0.597016610887226,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,0.000119789043994125,9.58312351953002e-05
COL5A3,ITGB1,fibroblast,9.47660206474746,0.323917549092335,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,9.57157340220307e-05,9.57157340220307e-05
MMP16,DDR1,fibroblast,5.77910973064341,0.19497969638793,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,4,5,0.8,0.000119255762666872,9.54046101334976e-05
COL6A1,ITGB1,fibroblast,24.8434569469391,0.903967405761315,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,9.36289656538005e-05,9.36289656538005e-05
COL5A2,ITGB1,fibroblast,8.12039177938097,0.273745660641291,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,0.000104177442013513,8.33419536108105e-05
VEGFD,ITGB1,fibroblast,7.55739911945566,0.256095235169494,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,8.10492959622995e-05,8.10492959622995e-05
COL5A1,ITGB1,fibroblast,11.0031655932758,0.387068666988134,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,9.80163803495265e-05,7.84131042796212e-05
ANGPT1,ITGB1,fibroblast,6.0642446735668,0.205920161996287,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,7.48677368337686e-05,7.48677368337686e-05
CXCL12,ITGB1,fibroblast,10.4646508750864,0.363742920168496,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,8.83164799168242e-05,7.06531839334593e-05
